,well,luminescence,promoter,biological_replicate,date_tested
1,A1,30743,249,infiltration of leaf tissue,26-Jun
2,A10,972,253,incubation of leaf disks,26-Jun
3,A11,1010,255,incubation of leaf disks,26-Jun
4,A2,194028,35_S,infiltration of leaf tissue,26-Jun
5,A3,887,EV,infiltration of leaf tissue,26-Jun
6,A4,13236,253,infiltration of leaf tissue,26-Jun
7,A5,22897,255,infiltration of leaf tissue,26-Jun
8,A7,8256,249,incubation of leaf disks,26-Jun
9,A8,78043,35_S,incubation of leaf disks,26-Jun
10,A9,436,EV,incubation of leaf disks,26-Jun
11,B1,44592,249,infiltration of leaf tissue,26-Jun
12,B10,832,253,incubation of leaf disks,26-Jun
13,B11,2051,255,incubation of leaf disks,26-Jun
14,B2,207662,35_S,infiltration of leaf tissue,26-Jun
15,B3,300,EV,infiltration of leaf tissue,26-Jun
16,B4,15667,253,infiltration of leaf tissue,26-Jun
17,B7,10105,249,incubation of leaf disks,26-Jun
18,B8,194446,35_S,incubation of leaf disks,26-Jun
19,B9,304,EV,incubation of leaf disks,26-Jun
20,C1,44496,249,infiltration of leaf tissue,26-Jun
21,C10,920,253,incubation of leaf disks,26-Jun
22,C11,1833,255,incubation of leaf disks,26-Jun
23,C2,220560,35_S,infiltration of leaf tissue,26-Jun
24,C3,281,EV,infiltration of leaf tissue,26-Jun
25,C4,14990,253,infiltration of leaf tissue,26-Jun
26,C5,32352,255,infiltration of leaf tissue,26-Jun
27,C7,6640,249,incubation of leaf disks,26-Jun
28,C8,121193,35_S,incubation of leaf disks,26-Jun
29,C9,201,EV,incubation of leaf disks,26-Jun
30,D1,33842,249,infiltration of leaf tissue,26-Jun
31,D10,965,253,incubation of leaf disks,26-Jun
32,D11,3809,255,incubation of leaf disks,26-Jun
33,D3,202,EV,infiltration of leaf tissue,26-Jun
34,D4,16356,253,infiltration of leaf tissue,26-Jun
35,D5,23913,255,infiltration of leaf tissue,26-Jun
36,D8,146120,35_S,incubation of leaf disks,26-Jun
37,D9,204,EV,incubation of leaf disks,26-Jun
38,E1,32627,249,infiltration of leaf tissue,26-Jun
39,E10,1012,253,incubation of leaf disks,26-Jun
40,E11,2485,255,incubation of leaf disks,26-Jun
41,E2,211847,35_S,infiltration of leaf tissue,26-Jun
42,E3,205,EV,infiltration of leaf tissue,26-Jun
43,E4,16569,253,infiltration of leaf tissue,26-Jun
44,E5,21939,255,infiltration of leaf tissue,26-Jun
45,E7,4989,249,incubation of leaf disks,26-Jun
46,E8,312479,35_S,incubation of leaf disks,26-Jun
47,E9,155,EV,incubation of leaf disks,26-Jun
48,F1,34487,249,infiltration of leaf tissue,26-Jun
49,F10,718,253,incubation of leaf disks,26-Jun
50,F11,4110,255,incubation of leaf disks,26-Jun
51,F2,259119,35_S,infiltration of leaf tissue,26-Jun
52,F3,195,EV,infiltration of leaf tissue,26-Jun
53,F4,6779,253,infiltration of leaf tissue,26-Jun
54,F5,44461,255,infiltration of leaf tissue,26-Jun
55,F7,5881,249,incubation of leaf disks,26-Jun
56,F8,99830,35_S,incubation of leaf disks,26-Jun
57,F9,167,EV,incubation of leaf disks,26-Jun
58,G10,773,253,incubation of leaf disks,26-Jun
59,G11,3882,255,incubation of leaf disks,26-Jun
60,G2,203618,35_S,infiltration of leaf tissue,26-Jun
61,G3,225,EV,infiltration of leaf tissue,26-Jun
62,G4,14475,253,infiltration of leaf tissue,26-Jun
63,G5,33820,255,infiltration of leaf tissue,26-Jun
64,G7,9100,249,incubation of leaf disks,26-Jun
65,G8,123273,35_S,incubation of leaf disks,26-Jun
66,G9,150,EV,incubation of leaf disks,26-Jun
67,H1,32666,249,infiltration of leaf tissue,26-Jun
68,H10,687,253,incubation of leaf disks,26-Jun
69,H11,4092,255,incubation of leaf disks,26-Jun
70,H2,233139,35_S,infiltration of leaf tissue,26-Jun
71,H3,168,EV,infiltration of leaf tissue,26-Jun
72,H4,10131,253,infiltration of leaf tissue,26-Jun
73,H5,39882,255,infiltration of leaf tissue,26-Jun
74,H7,12684,249,incubation of leaf disks,26-Jun
75,H8,120618,35_S,incubation of leaf disks,26-Jun
76,H9,147,EV,incubation of leaf disks,26-Jun
