,well,luminescence,promoter,biological_replicate,date_tested
1,A10,165614,G19,Replicate 2,10-Jul
2,A11,24601,253,Replicate 2,10-Jul
3,A12,33406,255,Replicate 2,10-Jul
4,A2,52165,256,Replicate 1,10-Jul
5,A3,166486,G19,Replicate 1,10-Jul
6,A5,133211,35_S,Replicate 1,10-Jul
7,A6,53570,253,Replicate 1,10-Jul
8,A7,27837,255,Replicate 1,10-Jul
9,A9,25440,256,Replicate 2,10-Jul
10,B1,59115,249,Replicate 1,10-Jul
11,B10,198043,G19,Replicate 2,10-Jul
12,B11,18735,253,Replicate 2,10-Jul
13,B12,14713,255,Replicate 2,10-Jul
14,B2,57786,256,Replicate 1,10-Jul
15,B3,192270,G19,Replicate 1,10-Jul
16,B4,9640,EV,Replicate 1,10-Jul
17,B5,146312,35_S,Replicate 1,10-Jul
18,B6,24108,253,Replicate 1,10-Jul
19,B7,26268,255,Replicate 1,10-Jul
20,B8,22986,249,Replicate 2,10-Jul
21,B9,26768,256,Replicate 2,10-Jul
22,C1,66997,249,Replicate 1,10-Jul
23,C10,119757,G19,Replicate 2,10-Jul
24,C11,17080,253,Replicate 2,10-Jul
25,C12,46749,255,Replicate 2,10-Jul
26,C2,41975,256,Replicate 1,10-Jul
27,C3,225748,G19,Replicate 1,10-Jul
28,C4,351,EV,Replicate 1,10-Jul
29,C5,170970,35_S,Replicate 1,10-Jul
30,C6,33804,253,Replicate 1,10-Jul
31,C7,49676,255,Replicate 1,10-Jul
32,C8,56197,249,Replicate 2,10-Jul
33,C9,25287,256,Replicate 2,10-Jul
34,D1,75673,249,Replicate 1,10-Jul
35,D10,334916,G19,Replicate 2,10-Jul
36,D11,29075,253,Replicate 2,10-Jul
37,D12,45047,255,Replicate 2,10-Jul
38,D2,48382,256,Replicate 1,10-Jul
39,D3,155912,G19,Replicate 1,10-Jul
40,D4,369,EV,Replicate 1,10-Jul
41,D5,116238,35_S,Replicate 1,10-Jul
42,D6,33804,253,Replicate 1,10-Jul
43,D7,56779,255,Replicate 1,10-Jul
44,D8,29789,249,Replicate 2,10-Jul
45,D9,24800,256,Replicate 2,10-Jul
46,E1,73914,249,Replicate 1,10-Jul
47,E10,437019,G19,Replicate 2,10-Jul
48,E11,34568,253,Replicate 2,10-Jul
49,E12,43293,255,Replicate 2,10-Jul
50,E2,52304,256,Replicate 1,10-Jul
51,E3,159046,G19,Replicate 1,10-Jul
52,E4,239,EV,Replicate 2,10-Jul
53,E5,165005,35_S,Replicate 2,10-Jul
54,E6,45859,253,Replicate 1,10-Jul
55,E7,49956,255,Replicate 1,10-Jul
56,E8,52856,249,Replicate 2,10-Jul
57,E9,46987,256,Replicate 2,10-Jul
58,F1,55828,249,Replicate 1,10-Jul
59,F10,454372,G19,Replicate 2,10-Jul
60,F11,39055,253,Replicate 2,10-Jul
61,F12,47284,255,Replicate 2,10-Jul
62,F2,39998,256,Replicate 1,10-Jul
63,F3,200982,G19,Replicate 1,10-Jul
64,F4,239,EV,Replicate 2,10-Jul
65,F5,175463,35_S,Replicate 2,10-Jul
66,F6,42177,253,Replicate 1,10-Jul
67,F7,35865,255,Replicate 1,10-Jul
68,F8,59466,249,Replicate 2,10-Jul
69,F9,34985,256,Replicate 2,10-Jul
70,G1,53549,249,Replicate 1,10-Jul
71,G10,240617,G19,Replicate 2,10-Jul
72,G11,41551,253,Replicate 2,10-Jul
73,G12,53952,255,Replicate 2,10-Jul
74,G2,42335,256,Replicate 1,10-Jul
75,G3,173732,G19,Replicate 1,10-Jul
76,G4,274,EV,Replicate 2,10-Jul
77,G5,167813,35_S,Replicate 2,10-Jul
78,G6,37821,253,Replicate 1,10-Jul
79,G7,44311,255,Replicate 1,10-Jul
80,G8,31616,249,Replicate 2,10-Jul
81,G9,32804,256,Replicate 2,10-Jul
82,H1,71967,249,Replicate 1,10-Jul
83,H10,242179,G19,Replicate 2,10-Jul
84,H11,46559,253,Replicate 2,10-Jul
85,H12,63602,255,Replicate 2,10-Jul
86,H2,39408,256,Replicate 1,10-Jul
87,H3,394549,G19,Replicate 1,10-Jul
88,H6,35398,253,Replicate 1,10-Jul
89,H7,37164,255,Replicate 1,10-Jul
90,H8,74596,249,Replicate 2,10-Jul
91,H9,36717,256,Replicate 2,10-Jul
