"","sample","genotype","Ubq","INR","deltaCt","deltadeltaCt","mean_deltadeltaCt","norm_deltadelta_Ct"
"1","G19_1","G19",23.5598195715464,27.889970604386,4.33015103283955,0.0497158253125713,0.0542550708463611,28.5308382977679
"2","G19_2","G19",22.2780025293691,25.8419392626808,3.56393673331175,0.0845567224359905,0.0542550708463611,48.5252766024275
"3","G19_3","G19",21.7407157166759,26.2067375600964,4.4660218434206,0.0452473828043817,0.0542550708463611,25.9664956595337
"4","G19_4","G19",22.2115522999828,26.9485043200876,4.73695202010475,0.0375003528325008,0.0542550708463611,21.5206424925381
"5","249_1","249",21.6315599447128,25.6539019614164,4.02234201670355,0.0615395618959836,0.0519908732057866,35.3162253333008
"6","249_2","249",22.0563221433586,25.8672242594533,3.8109021160947,0.071253163760648,0.0519908732057866,40.8906516321147
"7","249_3","249",21.2011859937129,26.0735302873405,4.8723442936276,0.0341411557190074,0.0519908732057866,19.5928718269031
"8","249_4","249",20.8620526945704,25.9942232530301,5.13217055845975,0.0285143002968075,0.0519908732057866,16.3637410387411
"9","249_5","249",23.3175045982083,26.8333453990425,3.5158408008342,0.0874231516484412,0.0519908732057866,50.1702584133147
"10","249_6","249",22.9544782480083,28.0586095354185,5.1041312874103,0.0290739059138318,0.0519908732057866,16.6848866150131
"11","260_1","260",22.9402917099386,26.9661106320071,4.0258189220684,0.0613914296833057,0.0594332318443062,35.2312154560628
"12","260_2","260",23.9369509470799,28.69627029354,4.7593193464601,0.0369234367829912,0.0594332318443062,21.1895628329637
"13","260_3","260",24.0581418014417,28.037878786635,3.9797369851933,0.0633840218460806,0.0594332318443062,36.374721058798
"14","260_4","260",24.5237164859619,28.6995561775023,4.17583969154035,0.055328257874436,0.0594332318443062,31.7516921179135
"15","260_5","260",24.0265326708124,27.5127337023848,3.4862010315724,0.0892378130683634,0.0594332318443062,51.2116534059853
"16","260_6","260",24.9642735208798,29.2765840818288,4.3123105609489,0.0503344318106604,0.0594332318443062,28.885843205279
"17","253_1","253",21.8693860633878,30.6331224980249,8.76373643463715,0.00230066009168184,0.00792087954659506,1.3202991329464
"18","253_2","253",23.9017591278335,30.3277023078699,6.4259431800364,0.0116304991094954,0.00792087954659506,6.67449222313199
"19","253_3","253",22.0075833065411,29.1984399935886,7.19085668704755,0.00684441670630295,0.00792087954659506,3.9278629100962
"20","253_4","253",22.239353210544,31.4039544753155,9.1646012647715,0.00174252942706071,0.00792087954659506,1
"21","253_5","253",21.1146701404656,29.0837798821405,7.96910974167485,0.00399079049356736,0.00792087954659506,2.2902284642039
"22","253_6","253",24.8445508245597,30.4168927233135,5.5723418987538,0.0210163814514621,0.00792087954659506,12.0608473665277
