"","sample","genotype","Ubq","INR","deltaCt","deltadeltaCt","mean_deltadeltaCt","norm_deltadelta_Ct"
"1","G19_1","G19",22.5003295706596,28.8644263615947,6.36409679093505,0.0121399240755066,0.0133302733676817,23.6518688089569
"2","G19_2","G19",20.3624593875845,26.3580113536777,5.99555196609315,0.015673248436449,0.0133302733676817,30.5357441713332
"3","G19_3","G19",20.6455301370562,27.0564569164657,6.41092677940955,0.0117521882472364,0.0133302733676817,22.8964541221976
"4","G19_4","G19",21.3716564305047,27.2719900446207,5.900333614116,0.0167425882866581,0.0133302733676817,32.6191085887733
"5","G19_5","G19",21.4738522597236,27.7093792819172,6.2355270221935,0.0132714791022088,0.0133302733676817,25.8564452853182
"6","G19_6","G19",20.242478571212,26.829444407062,6.58696583585005,0.0104022120580316,0.0133302733676817,20.2663339069726
"7","255_1","255",20.363570874133,31.2915499399217,10.9279790657887,0.000513275469839799,0.00157321177433032,1
"8","255_2","255",19.3372768250859,29.2522860181396,9.91500919305375,0.00103582127201145,0.00157321177433032,2.01806112482785
"9","255_3","255",19.102396506101,29.2546334128445,10.1522369067435,0.000878763819817578,0.00157321177433032,1.71207055753483
"10","255_4","255",20.9273705127429,30.4842986315268,9.556928118784,0.00132763278916338,0.00157321177433032,2.58658920438524
"11","255_5","255",18.04324078932,27.2269768540695,9.18373606474955,0.00171957044558217,0.00157321177433032,3.35019019342356
"12","255_6","255",22.0807104088386,30.0594624501843,7.9787520413457,0.00396420684956751,0.00157321177433032,7.72335146038598
"13","BCG19_1","BCG19",17.0137098780497,24.287157115603,7.2734472375533,0.00646359609084555,0.00690385502758446,12.592840434909
"14","BCG19_2","BCG19",20.8816797938708,28.0238105841878,7.142130790317,0.00707952955513811,0.00690385502758446,13.7928460858411
"15","BCG19_3","BCG19",NA,NA,NA,NA,0.00690385502758446,NA
"16","BCG19_4","BCG19",20.2718909771485,27.3960161821974,7.1241252050489,0.00716843943676972,0.00690385502758446,13.9660666795689
"17","BCG19_5","BCG19",NA,NA,NA,NA,0.00690385502758446,NA
"18","BC255_1","BC255",21.3339943598199,30.974713897808,9.64071953798815,0.00125272065818104,0.00157833475516639,2.44064003014216
"19","BC255_2","BC255",21.6585558510972,30.4286505941814,8.77009474308425,0.00229054283326593,0.00157833475516639,4.46259945752101
"20","BC255_3","BC255",19.3453582332529,29.0580720611927,9.71271382793975,0.00119174077405221,0.00157833475516639,2.3218346562016
