,well,luminescence,promoter,biological_replicate,date_tested
1,A1,9984,249,Replicate 1,24-Jul
2,A10,8342,G19,Replicate 2,24-Jul
3,A11,1958,253,Replicate 2,24-Jul
4,A12,3993,255,Replicate 2,24-Jul
5,A2,19433,256,Replicate 1,24-Jul
6,A3,7040,G19,Replicate 1,24-Jul
7,A4,159952,35_S,Replicate 1,24-Jul
8,A5,451,EV,Replicate 1,24-Jul
9,A6,10135,253,Replicate 1,24-Jul
10,A7,9783,255,Replicate 1,24-Jul
11,A8,2440,249,Replicate 2,24-Jul
12,A9,3007,256,Replicate 2,24-Jul
13,B1,12994,249,Replicate 1,24-Jul
14,B11,2552,253,Replicate 2,24-Jul
15,B12,3304,255,Replicate 2,24-Jul
16,B2,20786,256,Replicate 1,24-Jul
17,B3,8659,G19,Replicate 1,24-Jul
18,B4,152059,35_S,Replicate 1,24-Jul
19,B5,229,EV,Replicate 1,24-Jul
20,B6,10098,253,Replicate 1,24-Jul
21,B7,8895,255,Replicate 1,24-Jul
22,B8,4018,249,Replicate 2,24-Jul
23,B9,7789,256,Replicate 2,24-Jul
24,C1,7697,249,Replicate 1,24-Jul
25,C10,2753,G19,Replicate 2,24-Jul
26,C11,3332,253,Replicate 2,24-Jul
27,C12,3773,255,Replicate 2,24-Jul
28,C2,23190,256,Replicate 1,24-Jul
29,C3,15428,G19,Replicate 1,24-Jul
30,C4,163629,35_S,Replicate 1,24-Jul
31,C5,211,EV,Replicate 1,24-Jul
32,C6,10936,253,Replicate 1,24-Jul
33,C7,10251,255,Replicate 1,24-Jul
34,C8,4470,249,Replicate 2,24-Jul
35,C9,6381,256,Replicate 2,24-Jul
36,D1,10552,249,Replicate 1,24-Jul
37,D10,2448,G19,Replicate 2,24-Jul
38,D11,2162,253,Replicate 2,24-Jul
39,D12,6717,255,Replicate 2,24-Jul
40,D2,24761,256,Replicate 1,24-Jul
41,D3,8005,G19,Replicate 1,24-Jul
42,D4,136666,35_S,Replicate 1,24-Jul
43,D5,160,EV,Replicate 1,24-Jul
44,D6,6956,253,Replicate 1,24-Jul
45,D7,8410,255,Replicate 1,24-Jul
46,D8,2885,249,Replicate 2,24-Jul
47,D9,5864,256,Replicate 2,24-Jul
48,E1,13984,249,Replicate 1,24-Jul
49,E10,1444,G19,Replicate 2,24-Jul
50,E11,2949,253,Replicate 2,24-Jul
51,E12,6049,255,Replicate 2,24-Jul
52,E2,19505,256,Replicate 1,24-Jul
53,E3,7957,G19,Replicate 1,24-Jul
54,E4,67787,35_S,Replicate 2,24-Jul
55,E5,168,EV,Replicate 2,24-Jul
56,E6,6709,253,Replicate 1,24-Jul
57,E7,8724,255,Replicate 1,24-Jul
58,E8,3384,249,Replicate 2,24-Jul
59,E9,6098,256,Replicate 2,24-Jul
60,F1,9772,249,Replicate 1,24-Jul
61,F10,9968,G19,Replicate 2,24-Jul
62,F11,3594,253,Replicate 2,24-Jul
63,F12,3261,255,Replicate 2,24-Jul
64,F2,15625,256,Replicate 1,24-Jul
65,F3,8643,G19,Replicate 1,24-Jul
66,F4,75466,35_S,Replicate 2,24-Jul
67,F5,144,EV,Replicate 2,24-Jul
68,F6,4761,253,Replicate 1,24-Jul
69,F7,10959,255,Replicate 1,24-Jul
70,F8,6331,249,Replicate 2,24-Jul
71,F9,4573,256,Replicate 2,24-Jul
72,G1,8104,249,Replicate 1,24-Jul
73,G10,2486,G19,Replicate 2,24-Jul
74,G11,3245,253,Replicate 2,24-Jul
75,G12,5736,255,Replicate 2,24-Jul
76,G2,20653,256,Replicate 1,24-Jul
77,G3,8299,G19,Replicate 1,24-Jul
78,G4,60973,35_S,Replicate 2,24-Jul
79,G5,152,EV,Replicate 2,24-Jul
80,G6,7716,253,Replicate 1,24-Jul
81,G7,8930,255,Replicate 1,24-Jul
82,G8,5990,249,Replicate 2,24-Jul
83,G9,6041,256,Replicate 2,24-Jul
84,H1,9039,249,Replicate 1,24-Jul
85,H10,3554,G19,Replicate 2,24-Jul
86,H11,3787,253,Replicate 2,24-Jul
87,H12,6309,255,Replicate 2,24-Jul
88,H2,15146,256,Replicate 1,24-Jul
89,H3,11074,G19,Replicate 1,24-Jul
90,H4,78179,35_S,Replicate 2,24-Jul
91,H5,160,EV,Replicate 2,24-Jul
92,H6,9283,253,Replicate 1,24-Jul
93,H7,9321,255,Replicate 1,24-Jul
94,H8,5569,249,Replicate 2,24-Jul
95,H9,6021,256,Replicate 2,24-Jul
