,well,luminescence,promoter,biological_replicate,date_tested
1,A1,43744,255,Plant 1,14-Aug
2,A10,31625,256,Plant 5,14-Aug
3,A11,20059,255,Plant 6,14-Aug
4,A12,28841,256,Plant 6,14-Aug
5,A2,15667,G19,Plant 1,14-Aug
6,A3,40581,255,Plant 2,14-Aug
7,A4,11158,G19,Plant 2,14-Aug
8,A5,22664,255,Plant 3,14-Aug
9,A6,56353,249,Plant 3,14-Aug
10,A7,53856,255,Plant 4,14-Aug
11,A8,59088,249,Plant 4,14-Aug
12,A9,38204,255,Plant 5,14-Aug
13,B1,45758,255,Plant 1,14-Aug
14,B10,38772,256,Plant 5,14-Aug
15,B11,21582,255,Plant 6,14-Aug
16,B12,23025,256,Plant 6,14-Aug
17,B2,20914,G19,Plant 1,14-Aug
18,B3,57328,255,Plant 2,14-Aug
19,B4,9380,G19,Plant 2,14-Aug
20,B5,33749,255,Plant 3,14-Aug
21,B6,63016,249,Plant 3,14-Aug
22,B7,49272,255,Plant 4,14-Aug
23,B8,76047,249,Plant 4,14-Aug
24,B9,38126,255,Plant 5,14-Aug
25,C1,48217,255,Plant 1,14-Aug
26,C10,33797,256,Plant 5,14-Aug
27,C11,19440,255,Plant 6,14-Aug
28,C12,19004,256,Plant 6,14-Aug
29,C2,20903,G19,Plant 1,14-Aug
30,C3,32008,255,Plant 2,14-Aug
31,C4,12392,G19,Plant 2,14-Aug
32,C5,26643,255,Plant 3,14-Aug
33,C6,42221,249,Plant 3,14-Aug
34,C7,54279,255,Plant 4,14-Aug
35,C8,55951,249,Plant 4,14-Aug
36,C9,30490,255,Plant 5,14-Aug
37,D1,49198,255,Plant 1,14-Aug
38,D10,42399,256,Plant 5,14-Aug
39,D11,15214,255,Plant 6,14-Aug
40,D12,25398,256,Plant 6,14-Aug
41,D2,16256,G19,Plant 1,14-Aug
42,D3,36312,255,Plant 2,14-Aug
43,D4,10533,G19,Plant 2,14-Aug
44,D5,29838,255,Plant 3,14-Aug
45,D6,63807,249,Plant 3,14-Aug
46,D7,42947,255,Plant 4,14-Aug
47,D8,59353,249,Plant 4,14-Aug
48,D9,29412,255,Plant 5,14-Aug
49,E1,40413,255,Plant 1,14-Aug
50,E10,31447,256,Plant 5,14-Aug
51,E11,21516,255,Plant 6,14-Aug
52,E12,23404,256,Plant 6,14-Aug
53,E2,10260,G19,Plant 1,14-Aug
54,E3,38649,255,Plant 2,14-Aug
55,E4,8593,G19,Plant 2,14-Aug
56,E5,34147,255,Plant 3,14-Aug
57,E6,52811,249,Plant 3,14-Aug
58,E7,39594,255,Plant 4,14-Aug
59,E8,64736,249,Plant 4,14-Aug
60,E9,21602,255,Plant 5,14-Aug
61,F1,43749,255,Plant 1,14-Aug
62,F10,36361,256,Plant 5,14-Aug
63,F11,17846,255,Plant 6,14-Aug
64,F12,24068,256,Plant 6,14-Aug
65,F2,14437,G19,Plant 1,14-Aug
66,F3,38606,255,Plant 2,14-Aug
67,F4,7884,G19,Plant 2,14-Aug
68,F5,32636,255,Plant 3,14-Aug
69,F6,57324,249,Plant 3,14-Aug
70,F7,48982,255,Plant 4,14-Aug
71,F8,47973,249,Plant 4,14-Aug
72,F9,40946,255,Plant 5,14-Aug
73,G1,42050,255,Plant 1,14-Aug
74,G10,43396,256,Plant 5,14-Aug
75,G11,18170,255,Plant 6,14-Aug
76,G12,26114,256,Plant 6,14-Aug
77,G2,39071,G19,Plant 1,14-Aug
78,G3,46978,255,Plant 2,14-Aug
79,G4,8143,G19,Plant 2,14-Aug
80,G5,34663,255,Plant 3,14-Aug
81,G6,62577,249,Plant 3,14-Aug
82,G7,50681,255,Plant 4,14-Aug
83,G8,58379,249,Plant 4,14-Aug
84,G9,38415,255,Plant 5,14-Aug
85,H1,34945,255,Plant 1,14-Aug
86,H10,34557,256,Plant 5,14-Aug
87,H11,25953,255,Plant 6,14-Aug
88,H12,30839,256,Plant 6,14-Aug
89,H2,19231,G19,Plant 1,14-Aug
90,H3,44939,255,Plant 2,14-Aug
91,H4,9685,G19,Plant 2,14-Aug
92,H5,27342,255,Plant 3,14-Aug
93,H6,49545,249,Plant 3,14-Aug
94,H7,38462,255,Plant 4,14-Aug
95,H8,57543,249,Plant 4,14-Aug
96,H9,28255,255,Plant 5,14-Aug
